称样时间,样品编号,试样描述,称样量
2026/8/4,TN26080010A,红色胶水,
2026/8/4,TN26080010B,红色胶水,
2026/8/4,TN26080011,绿色胶水,
2026/8/4,TN26080012,绿色胶水,
2026/8/4,TN26080013,透明胶水,
2026/8/4,TN26080025,透明胶水,
2026/8/4,TN26080027,淡黄色胶水,
2026/8/4,TN26080030,红色胶水,
2026/8/4,TN26080031,透明胶水,
2026/8/4,TN26080032,红色胶水,
2026/8/4,TN26080033,透明胶水,
2026/8/4,TN26080038,透明胶水,
2026/8/4,TN26080039,红色胶水,
2026/8/4,TN26080042,红色胶水,
2026/8/4,TN26080043,红色胶水,
2026/8/4,TN26080046,绿色胶水,
2026/8/4,TN26080047,绿色胶水,
2026/8/4,TN26080053,红色胶水,
2026/8/4,TN26080054,绿色胶水,
2026/8/4,TN26080055,混测胶水,
2026/8/4,TN26080056,草,0.5349
2026/8/4,TN26080059,绿色胶水,
2026/8/4,TN26080086,蓝色胶水,
2026/8/4,TN26080068,透明胶水,
2026/8/4,TN26080069,蓝色胶水,
2026/8/4,TN26080070,混测胶水,
2026/8/4,TN26080071,草,0.5591
2026/8/4,TN26080076,混测胶水,
2026/8/4,TN26080078,草,0.5541
2026/8/4,TN26080080,绿色胶水,
2026/8/4,TN26080087,淡黄色胶水,
2026/8/4,TN26080084,淡黄色胶水,
2026/8/4,TN26080089,草,0.554
2026/8/4,TN26080090,绿色胶水,
2026/8/4,TN26080091,绿色胶水,
2026/8/4,TN26080095,淡黄色胶水,
2026/8/4,TN26080096,红色胶水,
2026/8/4,TN26080097,红色胶水,
2026/8/4,TN26080098,草,0.5528
2026/8/4,TN26080103,透明胶水,
2026/8/4,TN26080104,绿色胶水,
2026/8/4,TN26080105,蓝色胶水,
2026/8/4,TN26080106,草,0.5462
2026/8/4,TN26080107,草,0.5036
2026/8/4,TN26080108,草,0.5038
2026/8/4,TN26080109,混测胶水,
2026/8/4,TN26080110A,红色颗粒,0.515
2026/8/4,TN26080110B,红色颗粒,0.527
2026/8/4,TN26080111,绿色颗粒,0.5539
2026/8/4,TN26080129,草,0.5458
2026/8/4,TN26080135,淡黄色胶水,
2026/8/4,TN26080136,绿色胶水,
2026/8/4,TN26080137,绿色胶水,
2026/8/4,TN26080139,透明胶水,
2026/8/4,TN26080142,草,0.5442
2026/8/4,TN26080165,透明胶水,
